step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.525,-0.05685,0.42645,0.09025,0.4833,1.49405
50000,50000,0.050000000000000044,-0.0777,0.41685,0.0886,0.49455,1.5311
75000,75000,0.050000000000000044,-0.05785,0.4228,0.09655,0.48065,1.55605
100000,100000,0.050000000000000044,-0.0616,0.42165,0.0951,0.48325,1.56215
125000,125000,0.050000000000000044,-0.0665,0.41945,0.0946,0.48595,1.5669
150000,150000,0.050000000000000044,-0.06235,0.42025,0.09715,0.4826,1.58665
175000,175000,0.050000000000000044,-0.062,0.42215,0.0937,0.48415,1.5647
200000,200000,0.050000000000000044,-0.0584,0.4212,0.0992,0.4796,1.5839
225000,225000,0.050000000000000044,-0.0538,0.4235,0.0992,0.4773,1.5854
250000,250000,0.050000000000000044,-0.062,0.42135,0.0953,0.48335,1.5622
275000,275000,0.050000000000000044,-0.05835,0.42315,0.09535,0.4815,1.59505
300000,300000,0.050000000000000044,-0.0651,0.41875,0.0974,0.48385,1.62255
325000,325000,0.050000000000000044,-0.059,0.4219,0.0972,0.4809,1.57695
350000,350000,0.050000000000000044,-0.06235,0.4222,0.09325,0.48455,1.5854
375000,375000,0.050000000000000044,-0.05725,0.4245,0.09375,0.48175,1.5426
400000,400000,0.050000000000000044,-0.05165,0.4256,0.09715,0.47725,1.5802
425000,425000,0.050000000000000044,-0.06405,0.4204,0.09515,0.48445,1.59535
450000,450000,0.050000000000000044,-0.05125,0.42645,0.09585,0.4777,1.57525
475000,475000,0.050000000000000044,-0.06315,0.4228,0.09125,0.48595,1.56735
500000,500000,0.050000000000000044,-0.06605,0.4211,0.09175,0.48715,1.53975
