trial,lr,gamma,gae_lambda,entropy_coef,hidden1,hidden2,mean_eval_return
1,0.0001,0.95,0.9,0.0,64,64,-0.18569999999999998
2,0.0001,0.95,0.9,0.0,128,128,-0.18569999999999998
3,0.0001,0.95,0.9,0.01,64,64,-0.18569999999999998
4,0.0001,0.95,0.9,0.01,128,128,-0.18569999999999998
5,0.0001,0.95,0.97,0.0,64,64,-0.18569999999999998
6,0.0001,0.95,0.97,0.0,128,128,-0.18569999999999998
7,0.0001,0.95,0.97,0.01,64,64,-0.18569999999999998
8,0.0001,0.95,0.97,0.01,128,128,-0.18569999999999998
9,0.0001,0.99,0.9,0.0,64,64,-0.18569999999999998
10,0.0001,0.99,0.9,0.0,128,128,-0.18569999999999998
11,0.0001,0.99,0.9,0.01,64,64,-0.18569999999999998
12,0.0001,0.99,0.9,0.01,128,128,-0.18569999999999998
13,0.0001,0.99,0.97,0.0,64,64,-0.18569999999999998
14,0.0001,0.99,0.97,0.0,128,128,-0.18569999999999998
15,0.0001,0.99,0.97,0.01,64,64,-0.18569999999999998
16,0.0001,0.99,0.97,0.01,128,128,-0.18569999999999998
17,0.0001,1.0,0.9,0.0,64,64,-0.18569999999999998
18,0.0001,1.0,0.9,0.0,128,128,-0.18569999999999998
19,0.0001,1.0,0.9,0.01,64,64,-0.18569999999999998
20,0.0001,1.0,0.9,0.01,128,128,-0.18569999999999998
21,0.0001,1.0,0.97,0.0,64,64,-0.18569999999999998
22,0.0001,1.0,0.97,0.0,128,128,-0.18569999999999998
23,0.0001,1.0,0.97,0.01,64,64,-0.18569999999999998
24,0.0001,1.0,0.97,0.01,128,128,-0.18569999999999998
25,0.0003,0.95,0.9,0.0,64,64,-0.06005
26,0.0003,0.95,0.9,0.0,128,128,-0.05686666666666667
27,0.0003,0.95,0.9,0.01,64,64,-0.05623333333333334
28,0.0003,0.95,0.9,0.01,128,128,-0.05085
29,0.0003,0.95,0.97,0.0,64,64,-0.057716666666666666
30,0.0003,0.95,0.97,0.0,128,128,-0.0551
31,0.0003,0.95,0.97,0.01,64,64,-0.060733333333333334
32,0.0003,0.95,0.97,0.01,128,128,-0.054150000000000004
33,0.0003,0.99,0.9,0.0,64,64,-0.0599
34,0.0003,0.99,0.9,0.0,128,128,-0.05193333333333333
35,0.0003,0.99,0.9,0.01,64,64,-0.06263333333333333
36,0.0003,0.99,0.9,0.01,128,128,-0.05256666666666667
37,0.0003,0.99,0.97,0.0,64,64,-0.062116666666666674
38,0.0003,0.99,0.97,0.0,128,128,-0.05773333333333333
39,0.0003,0.99,0.97,0.01,64,64,-0.056466666666666665
40,0.0003,0.99,0.97,0.01,128,128,-0.05221666666666667
41,0.0003,1.0,0.9,0.0,64,64,-0.06268333333333333
42,0.0003,1.0,0.9,0.0,128,128,-0.05446666666666666
43,0.0003,1.0,0.9,0.01,64,64,-0.05753333333333333
44,0.0003,1.0,0.9,0.01,128,128,-0.05565
45,0.0003,1.0,0.97,0.0,64,64,-0.06061666666666667
46,0.0003,1.0,0.97,0.0,128,128,-0.05736666666666667
47,0.0003,1.0,0.97,0.01,64,64,-0.06015
48,0.0003,1.0,0.97,0.01,128,128,-0.05595
49,0.001,0.95,0.9,0.0,64,64,-0.052550000000000006
50,0.001,0.95,0.9,0.0,128,128,-0.05486666666666667
51,0.001,0.95,0.9,0.01,64,64,-0.05246666666666666
52,0.001,0.95,0.9,0.01,128,128,-0.05341666666666667
53,0.001,0.95,0.97,0.0,64,64,-0.05098333333333333
54,0.001,0.95,0.97,0.0,128,128,-0.05556666666666666
55,0.001,0.95,0.97,0.01,64,64,-0.0535
56,0.001,0.95,0.97,0.01,128,128,-0.052333333333333336
57,0.001,0.99,0.9,0.0,64,64,-0.054766666666666665
58,0.001,0.99,0.9,0.0,128,128,-0.05345
59,0.001,0.99,0.9,0.01,64,64,-0.05531666666666666
60,0.001,0.99,0.9,0.01,128,128,-0.05528333333333333
61,0.001,0.99,0.97,0.0,64,64,-0.053516666666666664
62,0.001,0.99,0.97,0.0,128,128,-0.05415
63,0.001,0.99,0.97,0.01,64,64,-0.048749999999999995
64,0.001,0.99,0.97,0.01,128,128,-0.052616666666666666
65,0.001,1.0,0.9,0.0,64,64,-0.05531666666666666
66,0.001,1.0,0.9,0.0,128,128,-0.054799999999999995
67,0.001,1.0,0.9,0.01,64,64,-0.0567
68,0.001,1.0,0.9,0.01,128,128,-0.05118333333333334
69,0.001,1.0,0.97,0.0,64,64,-0.05495
70,0.001,1.0,0.97,0.0,128,128,-0.05453333333333333
71,0.001,1.0,0.97,0.01,64,64,-0.0526
72,0.001,1.0,0.97,0.01,128,128,-0.05408333333333334
73,0.002,0.95,0.9,0.0,64,64,-0.05910000000000001
74,0.002,0.95,0.9,0.0,128,128,-0.05748333333333333
75,0.002,0.95,0.9,0.01,64,64,-0.05686666666666667
76,0.002,0.95,0.9,0.01,128,128,-0.05933333333333333
77,0.002,0.95,0.97,0.0,64,64,-0.05411666666666667
78,0.002,0.95,0.97,0.0,128,128,-0.056716666666666665
79,0.002,0.95,0.97,0.01,64,64,-0.058383333333333336
80,0.002,0.95,0.97,0.01,128,128,-0.06103333333333333
81,0.002,0.99,0.9,0.0,64,64,-0.054299999999999994
82,0.002,0.99,0.9,0.0,128,128,-0.05533333333333334
83,0.002,0.99,0.9,0.01,64,64,-0.052333333333333336
84,0.002,0.99,0.9,0.01,128,128,-0.05705
85,0.002,0.99,0.97,0.0,64,64,-0.05268333333333333
86,0.002,0.99,0.97,0.0,128,128,-0.06115
87,0.002,0.99,0.97,0.01,64,64,-0.0552
88,0.002,0.99,0.97,0.01,128,128,-0.05765
89,0.002,1.0,0.9,0.0,64,64,-0.05648333333333333
90,0.002,1.0,0.9,0.0,128,128,-0.05253333333333334
91,0.002,1.0,0.9,0.01,64,64,-0.05345
92,0.002,1.0,0.9,0.01,128,128,-0.05235
93,0.002,1.0,0.97,0.0,64,64,-0.0567
94,0.002,1.0,0.97,0.0,128,128,-0.05625
95,0.002,1.0,0.97,0.01,64,64,-0.05603333333333333
96,0.002,1.0,0.97,0.01,128,128,-0.05776666666666667
